TradeDate,ResourceName,StartTime,EndTime,MeteredFlow,FlowVariance,ResidualCapacity
"2023-12-01","I_NIMOYLE","2023-12-01T06:00:00","2023-12-01T06:30:00",2.3,-32.7,430
"2023-12-01","I_ROIEWIC","2023-12-01T06:00:00","2023-12-01T06:29:59",-11.04,-11.04,515
"2023-12-01","I_NIMOYLE","2023-12-01T07:00:00","2023-12-01T07:30:00",37.1,37.1,500
"2023-12-01","I_ROIEWIC","2023-12-01T07:00:00","2023-12-01T07:29:59",28.38,28.38,515
"2023-12-01","I_NIMOYLE","2023-12-01T08:00:00","2023-12-01T08:30:00",187.8,37.8,200
"2023-12-01","I_ROIEWIC","2023-12-01T08:00:00","2023-12-01T08:29:59",55.88,16.3805,436.001
"2023-12-01","I_NIMOYLE","2023-12-01T09:00:00","2023-12-01T09:30:00",224.3,-0.7,50
"2023-12-01","I_ROIEWIC","2023-12-01T09:00:00","2023-12-01T09:29:59",32.2,32.2,515
"2023-12-01","I_NIMOYLE","2023-12-01T10:00:00","2023-12-01T10:30:00",224.3,-0.7,50
"2023-12-01","I_ROIEWIC","2023-12-01T10:00:00","2023-12-01T10:29:59",126.42,35.42,333
"2023-12-01","I_NIMOYLE","2023-12-01T11:00:00","2023-12-01T11:30:00",224.3,-0.7,50
"2023-12-01","I_ROIEWIC","2023-12-01T11:00:00","2023-12-01T11:29:59",171.55,21.05,214
"2023-12-01","I_NIMOYLE","2023-12-01T12:00:00","2023-12-01T12:30:00",224.2,-0.8,50
"2023-12-01","I_ROIEWIC","2023-12-01T12:00:00","2023-12-01T12:29:59",118.2,-18.8,241
"2023-12-01","I_NIMOYLE","2023-12-01T13:00:00","2023-12-01T13:30:00",224.3,-0.7,50
"2023-12-01","I_ROIEWIC","2023-12-01T13:00:00","2023-12-01T13:29:59",138.09,1.59,242
"2023-12-01","I_NIMOYLE","2023-12-01T14:00:00","2023-12-01T14:30:00",224.3,-0.7,50
"2023-12-01","I_ROIEWIC","2023-12-01T14:00:00","2023-12-01T14:29:59",88.76,-7.74,322
"2023-12-01","I_NIMOYLE","2023-12-01T15:00:00","2023-12-01T15:30:00",224.3,-0.7,50
"2023-12-01","I_ROIEWIC","2023-12-01T15:00:00","2023-12-01T15:29:59",128.83,0.33,258
