TradeDate,DeliveryDate,StartTime,EndTime,Forecast
2024-02-14,2024-02-14,2024-02-14T09:30:00,2024-02-14T09:45:00,2108.087
2024-02-14,2024-02-14,2024-02-14T09:45:00,2024-02-14T10:00:00,2098.803
2024-02-14,2024-02-14,2024-02-14T10:00:00,2024-02-14T10:15:00,2089.533
2024-02-14,2024-02-14,2024-02-14T10:15:00,2024-02-14T10:30:00,2076.291
2024-02-14,2024-02-14,2024-02-14T10:30:00,2024-02-14T10:45:00,2063.045
2024-02-14,2024-02-14,2024-02-14T10:45:00,2024-02-14T11:00:00,2049.81
2024-02-14,2024-02-14,2024-02-14T11:00:00,2024-02-14T11:15:00,2036.577
2024-02-14,2024-02-14,2024-02-14T11:15:00,2024-02-14T11:30:00,2024.018
2024-02-14,2024-02-14,2024-02-14T11:30:00,2024-02-14T11:45:00,2011.467
2024-02-14,2024-02-14,2024-02-14T11:45:00,2024-02-14T12:00:00,1998.91
2024-02-14,2024-02-14,2024-02-14T12:00:00,2024-02-14T12:15:00,1986.364
2024-02-14,2024-02-14,2024-02-14T12:15:00,2024-02-14T12:30:00,1962.733
2024-02-14,2024-02-14,2024-02-14T12:30:00,2024-02-14T12:45:00,1939.097
2024-02-14,2024-02-14,2024-02-14T12:45:00,2024-02-14T13:00:00,1915.459
2024-02-14,2024-02-14,2024-02-14T13:00:00,2024-02-14T13:15:00,1709.397
2024-02-14,2024-02-14,2024-02-14T13:15:00,2024-02-14T13:30:00,1681.276
2024-02-14,2024-02-14,2024-02-14T13:30:00,2024-02-14T13:45:00,1653.138
2024-02-14,2024-02-14,2024-02-14T13:45:00,2024-02-14T14:00:00,1625.012
2024-02-14,2024-02-14,2024-02-14T14:00:00,2024-02-14T14:15:00,1596.879
2024-02-14,2024-02-14,2024-02-14T14:15:00,2024-02-14T14:30:00,1598.015
2024-02-14,2024-02-14,2024-02-14T14:30:00,2024-02-14T14:45:00,1599.146
2024-02-14,2024-02-14,2024-02-14T14:45:00,2024-02-14T15:00:00,1600.272
2024-02-14,2024-02-14,2024-02-14T15:00:00,2024-02-14T15:15:00,1601.405
2024-02-14,2024-02-14,2024-02-14T15:15:00,2024-02-14T15:30:00,1627.745
2024-02-14,2024-02-14,2024-02-14T15:30:00,2024-02-14T15:45:00,1654.069
2024-02-14,2024-02-14,2024-02-14T15:45:00,2024-02-14T16:00:00,1680.41
2024-02-14,2024-02-14,2024-02-14T16:00:00,2024-02-14T16:15:00,1706.738
2024-02-14,2024-02-14,2024-02-14T16:15:00,2024-02-14T16:30:00,1719.406
2024-02-14,2024-02-14,2024-02-14T16:30:00,2024-02-14T16:45:00,1732.051
2024-02-14,2024-02-14,2024-02-14T16:45:00,2024-02-14T17:00:00,1744.703
2024-02-14,2024-02-14,2024-02-14T17:00:00,2024-02-14T17:15:00,1757.359
2024-02-14,2024-02-14,2024-02-14T17:15:00,2024-02-14T17:30:00,1776.629
2024-02-14,2024-02-14,2024-02-14T17:30:00,2024-02-14T17:45:00,1795.897
2024-02-14,2024-02-14,2024-02-14T17:45:00,2024-02-14T18:00:00,1815.167
2024-02-14,2024-02-14,2024-02-14T18:00:00,2024-02-14T18:15:00,1835.923
2024-02-14,2024-02-14,2024-02-14T18:15:00,2024-02-14T18:30:00,1840.434
2024-02-14,2024-02-14,2024-02-14T18:30:00,2024-02-14T18:45:00,1844.961
2024-02-14,2024-02-14,2024-02-14T18:45:00,2024-02-14T19:00:00,1849.486
2024-02-14,2024-02-14,2024-02-14T19:00:00,2024-02-14T19:15:00,1949.895
2024-02-14,2024-02-14,2024-02-14T19:15:00,2024-02-14T19:30:00,1967.349
2024-02-14,2024-02-14,2024-02-14T19:30:00,2024-02-14T19:45:00,1984.801
2024-02-14,2024-02-14,2024-02-14T19:45:00,2024-02-14T20:00:00,2002.24
2024-02-14,2024-02-14,2024-02-14T20:00:00,2024-02-14T20:15:00,2019.692
2024-02-14,2024-02-14,2024-02-14T20:15:00,2024-02-14T20:30:00,2025.678
2024-02-14,2024-02-14,2024-02-14T20:30:00,2024-02-14T20:45:00,2031.641
2024-02-14,2024-02-14,2024-02-14T20:45:00,2024-02-14T21:00:00,2037.615
2024-02-14,2024-02-14,2024-02-14T21:00:00,2024-02-14T21:15:00,2043.598
2024-02-14,2024-02-14,2024-02-14T21:15:00,2024-02-14T21:30:00,2048.986
2024-02-14,2024-02-14,2024-02-14T21:30:00,2024-02-14T21:45:00,2054.395
2024-02-14,2024-02-14,2024-02-14T21:45:00,2024-02-14T22:00:00,2059.787
2024-02-14,2024-02-14,2024-02-14T22:00:00,2024-02-14T22:15:00,2065.176
2024-02-14,2024-02-14,2024-02-14T22:15:00,2024-02-14T22:30:00,2046.715
2024-02-14,2024-02-14,2024-02-14T22:30:00,2024-02-14T22:45:00,2028.258
2024-02-14,2024-02-14,2024-02-14T22:45:00,2024-02-14T23:00:00,2009.788
2024-02-15,2024-02-14,2024-02-14T23:00:00,2024-02-14T23:15:00,1991.33
2024-02-15,2024-02-14,2024-02-14T23:15:00,2024-02-14T23:30:00,1938.772
2024-02-15,2024-02-14,2024-02-14T23:30:00,2024-02-14T23:45:00,1886.221
2024-02-15,2024-02-14,2024-02-14T23:45:00,2024-02-15T00:00:00,1833.662
2024-02-15,2024-02-15,2024-02-15T00:00:00,2024-02-15T00:15:00,1781.123
2024-02-15,2024-02-15,2024-02-15T00:15:00,2024-02-15T00:30:00,1768.563
2024-02-15,2024-02-15,2024-02-15T00:30:00,2024-02-15T00:45:00,1756.015
2024-02-15,2024-02-15,2024-02-15T00:45:00,2024-02-15T01:00:00,1743.448
2024-02-15,2024-02-15,2024-02-15T01:00:00,2024-02-15T01:15:00,1577.625
2024-02-15,2024-02-15,2024-02-15T01:15:00,2024-02-15T01:30:00,1579.902
2024-02-15,2024-02-15,2024-02-15T01:30:00,2024-02-15T01:45:00,1582.174
2024-02-15,2024-02-15,2024-02-15T01:45:00,2024-02-15T02:00:00,1584.451
2024-02-15,2024-02-15,2024-02-15T02:00:00,2024-02-15T02:15:00,1586.74
2024-02-15,2024-02-15,2024-02-15T02:15:00,2024-02-15T02:30:00,1590.427
2024-02-15,2024-02-15,2024-02-15T02:30:00,2024-02-15T02:45:00,1594.127
2024-02-15,2024-02-15,2024-02-15T02:45:00,2024-02-15T03:00:00,1597.806
2024-02-15,2024-02-15,2024-02-15T03:00:00,2024-02-15T03:15:00,1601.504
2024-02-15,2024-02-15,2024-02-15T03:15:00,2024-02-15T03:30:00,1575.523
2024-02-15,2024-02-15,2024-02-15T03:30:00,2024-02-15T03:45:00,1549.55
2024-02-15,2024-02-15,2024-02-15T03:45:00,2024-02-15T04:00:00,1523.567
2024-02-15,2024-02-15,2024-02-15T04:00:00,2024-02-15T04:15:00,1497.605
2024-02-15,2024-02-15,2024-02-15T04:15:00,2024-02-15T04:30:00,1487.779
2024-02-15,2024-02-15,2024-02-15T04:30:00,2024-02-15T04:45:00,1477.956
2024-02-15,2024-02-15,2024-02-15T04:45:00,2024-02-15T05:00:00,1468.138
2024-02-15,2024-02-15,2024-02-15T05:00:00,2024-02-15T05:15:00,1458.312
2024-02-15,2024-02-15,2024-02-15T05:15:00,2024-02-15T05:30:00,1417.769
2024-02-15,2024-02-15,2024-02-15T05:30:00,2024-02-15T05:45:00,1377.237
2024-02-15,2024-02-15,2024-02-15T05:45:00,2024-02-15T06:00:00,1336.705
2024-02-15,2024-02-15,2024-02-15T06:00:00,2024-02-15T06:15:00,1296.161
2024-02-15,2024-02-15,2024-02-15T06:15:00,2024-02-15T06:30:00,1259.049
2024-02-15,2024-02-15,2024-02-15T06:30:00,2024-02-15T06:45:00,1221.927
2024-02-15,2024-02-15,2024-02-15T06:45:00,2024-02-15T07:00:00,1184.798
2024-02-15,2024-02-15,2024-02-15T07:00:00,2024-02-15T07:15:00,1102.535
2024-02-15,2024-02-15,2024-02-15T07:15:00,2024-02-15T07:30:00,1073.33
2024-02-15,2024-02-15,2024-02-15T07:30:00,2024-02-15T07:45:00,1044.126
2024-02-15,2024-02-15,2024-02-15T07:45:00,2024-02-15T08:00:00,1014.92
2024-02-15,2024-02-15,2024-02-15T08:00:00,2024-02-15T08:15:00,985.722
