EffTime,ParticipantName,ResourceName,DispatchInstructionMW,InstructionCode,InstrIssueTime,RampUpRate,RampDownRate
2024-02-14T13:48:00,PT_400116,DSU_403760,3.0,MWOF,2024-02-14T13:50:12,0,0
2024-02-14T13:44:00,PT_502514,GU_503960,2.0,MWOF,2024-02-14T13:42:15,0,0
2024-02-14T13:43:00,PT_400064,GU_400762,165.0,MWOF,2024-02-14T13:41:17,0,0
2024-02-14T13:35:00,PT_400064,GU_400762,200.0,MWOF,2024-02-14T13:33:31,0,0
2024-02-14T13:33:00,PT_400030,GU_400260,0.0,MWOF,2024-02-14T13:31:51,0,0
2024-02-14T13:33:00,PT_400030,GU_400260,0.0,DESY,2024-02-14T13:31:51,0,0
2024-02-14T13:31:00,PT_400041,GU_400530,337.0,MWOF,2024-02-14T13:29:11,0,0
2024-02-14T13:16:00,PT_400041,GU_400530,355.0,MWOF,2024-02-14T13:14:28,0,0
2024-02-14T12:56:00,PT_400044,GU_400540,276.0,MWOF,2024-02-14T12:54:01,0,0
2024-02-14T12:56:00,PT_400035,GU_400480,270.0,MWOF,2024-02-14T12:54:09,0,0
2024-02-14T12:54:00,PT_400041,GU_400530,337.0,MWOF,2024-02-14T12:52:40,0,0
2024-02-14T12:41:00,PT_400064,GU_400762,270.0,MWOF,2024-02-14T12:39:40,0,0
2024-02-14T12:41:00,PT_400044,GU_400540,245.0,MWOF,2024-02-14T12:39:22,0,0
2024-02-14T12:41:00,PT_400035,GU_400480,245.0,MWOF,2024-02-14T12:39:29,0,0
2024-02-14T12:39:00,PT_400133,DSU_401910,6.0,MWOF,2024-02-14T12:39:06,0,0
2024-02-14T12:31:00,PT_502514,GU_503960,0.0,MWOF,2024-02-14T12:19:10,0,0
2024-02-14T12:31:00,PT_400064,GU_400762,300.0,MWOF,2024-02-14T12:29:33,0,0
2024-02-14T12:31:00,PT_400041,GU_400530,319.0,MWOF,2024-02-14T12:29:06,0,0
2024-02-14T12:30:00,PT_400028,GU_400930,432.0,MWOF,2024-02-14T12:28:23,0,0
2024-02-14T12:28:00,PT_400041,GU_400530,338.0,MWOF,2024-02-14T12:26:05,0,0
2024-02-14T12:27:00,PT_500024,GU_500040,389.0,MWOF,2024-02-14T12:25:51,0,0
2024-02-14T12:20:00,PT_502514,GU_503960,2.0,MWOF,2024-02-14T12:18:37,0,0
2024-02-14T11:57:00,PT_400116,DSU_403760,3.0,MWOF,2024-02-14T11:57:00,0,0
2024-02-14T11:57:00,PT_400044,GU_400540,214.0,MWOF,2024-02-14T11:55:37,0,0
2024-02-14T11:57:00,PT_400035,GU_400480,220.0,MWOF,2024-02-14T11:55:25,0,0
2024-02-14T11:53:00,PT_400064,GU_400762,350.0,MWOF,2024-02-14T11:51:39,0,0
2024-02-14T11:52:00,PT_400041,GU_400530,329.0,MWOF,2024-02-14T11:50:48,0,0
2024-02-14T11:50:00,PT_400116,DSU_403760,2.0,MWOF,2024-02-14T11:48:46,0,0
2024-02-14T11:49:00,PT_500024,GU_500040,390.0,MWOF,2024-02-14T11:47:52,0,0
2024-02-14T11:49:00,PT_400041,GU_400530,340.0,MWOF,2024-02-14T11:47:42,0,0
2024-02-14T11:40:00,PT_400030,GU_400363,0.0,MWOF,2024-02-14T11:38:44,0,0
2024-02-14T11:40:00,PT_400030,GU_400363,0.0,DESY,2024-02-14T11:38:44,0,0
2024-02-14T11:39:00,PT_400030,GU_400260,0.0,SYNC,2024-02-14T11:36:47,0,0
2024-02-14T11:39:00,PT_400030,GU_400260,1.0,MWOF,2024-02-14T11:36:47,0,0
2024-02-14T11:39:00,PT_400030,GU_400260,2.0,MWOF,2024-02-14T11:37:48,0,0
2024-02-14T11:22:00,PT_400116,DSU_401870,4.0,MWOF,2024-02-14T11:28:32,0,0
2024-02-14T11:14:00,PT_400116,DSU_402090,8.0,MWOF,2024-02-14T11:16:21,0,0
2024-02-14T11:12:00,PT_400116,DSU_403760,3.0,MWOF,2024-02-14T11:10:28,0,0
2024-02-14T11:10:00,PT_400116,DSU_401870,3.0,MWOF,2024-02-14T11:10:44,0,0
2024-02-14T11:08:00,PT_400124,DSU_401880,3.0,MWOF,2024-02-14T11:17:38,0,0
2024-02-14T11:08:00,PT_400116,DSU_402090,7.0,MWOF,2024-02-14T11:10:10,0,0
2024-02-14T11:04:00,PT_400064,GU_400762,400.0,MWOF,2024-02-14T11:02:49,0,0
2024-02-14T11:04:00,PT_400041,GU_400530,341.0,MWOF,2024-02-14T11:02:21,0,0
2024-02-14T11:04:00,PT_400035,GU_400480,270.0,MWOF,2024-02-14T11:02:35,0,0
2024-02-14T11:03:00,PT_400030,GU_400362,0.0,DESY,2024-02-14T11:01:02,0,0
2024-02-14T11:03:00,PT_400030,GU_400362,0.0,MWOF,2024-02-14T11:01:02,0,0
2024-02-14T11:02:00,PT_400064,GU_400762,350.0,MWOF,2024-02-14T11:00:49,0,0
2024-02-14T10:31:00,PT_400116,DSU_403760,4.0,MWOF,2024-02-14T10:31:00,0,0
2024-02-14T10:14:00,PT_400116,DSU_403760,2.0,MWOF,2024-02-14T10:18:21,0,0
2024-02-14T10:11:00,PT_400116,DSU_403760,3.0,MWOF,2024-02-14T10:10:47,0,0
2024-02-14T10:07:00,PT_400116,DSU_403760,4.0,MWOF,2024-02-14T10:06:47,0,0
2024-02-14T09:58:00,PT_400064,GU_400762,300.0,MWOF,2024-02-14T09:56:32,0,0
2024-02-14T09:56:00,PT_400116,DSU_403760,3.0,MWOF,2024-02-14T09:55:55,0,0
2024-02-14T09:45:00,PT_400116,DSU_403760,2.0,MWOF,2024-02-14T09:46:04,0,0
2024-02-14T09:38:00,PT_400116,DSU_403760,1.0,MWOF,2024-02-14T09:41:14,0,0
2024-02-14T09:36:00,PT_400064,GU_400762,350.0,MWOF,2024-02-14T09:34:40,0,0
