TradeDate,DeliveryDate,StartTime,EndTime,Forecast
2023-11-22,2023-11-22,2023-11-22T13:15:00,2023-11-22T13:30:00,2857.324
2023-11-22,2023-11-22,2023-11-22T13:30:00,2023-11-22T13:45:00,2851.987
2023-11-22,2023-11-22,2023-11-22T13:45:00,2023-11-22T14:00:00,2846.64
2023-11-22,2023-11-22,2023-11-22T14:00:00,2023-11-22T14:15:00,2841.298
2023-11-22,2023-11-22,2023-11-22T14:15:00,2023-11-22T14:30:00,2880.788
2023-11-22,2023-11-22,2023-11-22T14:30:00,2023-11-22T14:45:00,2920.263
2023-11-22,2023-11-22,2023-11-22T14:45:00,2023-11-22T15:00:00,2959.741
2023-11-22,2023-11-22,2023-11-22T15:00:00,2023-11-22T15:15:00,2999.232
2023-11-22,2023-11-22,2023-11-22T15:15:00,2023-11-22T15:30:00,3006.165
2023-11-22,2023-11-22,2023-11-22T15:30:00,2023-11-22T15:45:00,3013.115
2023-11-22,2023-11-22,2023-11-22T15:45:00,2023-11-22T16:00:00,3020.057
2023-11-22,2023-11-22,2023-11-22T16:00:00,2023-11-22T16:15:00,3027.007
2023-11-22,2023-11-22,2023-11-22T16:15:00,2023-11-22T16:30:00,3035.691
2023-11-22,2023-11-22,2023-11-22T16:30:00,2023-11-22T16:45:00,3044.364
2023-11-22,2023-11-22,2023-11-22T16:45:00,2023-11-22T17:00:00,3053.042
2023-11-22,2023-11-22,2023-11-22T17:00:00,2023-11-22T17:15:00,3061.729
2023-11-22,2023-11-22,2023-11-22T17:15:00,2023-11-22T17:30:00,3052.46
2023-11-22,2023-11-22,2023-11-22T17:30:00,2023-11-22T17:45:00,3043.207
2023-11-22,2023-11-22,2023-11-22T17:45:00,2023-11-22T18:00:00,3033.931
2023-11-22,2023-11-22,2023-11-22T18:00:00,2023-11-22T18:15:00,3024.671
2023-11-22,2023-11-22,2023-11-22T18:15:00,2023-11-22T18:30:00,3019.68
2023-11-22,2023-11-22,2023-11-22T18:30:00,2023-11-22T18:45:00,3014.679
2023-11-22,2023-11-22,2023-11-22T18:45:00,2023-11-22T19:00:00,3009.678
2023-11-22,2023-11-22,2023-11-22T19:00:00,2023-11-22T19:15:00,3164.18
2023-11-22,2023-11-22,2023-11-22T19:15:00,2023-11-22T19:30:00,3188.628
2023-11-22,2023-11-22,2023-11-22T19:30:00,2023-11-22T19:45:00,3213.088
2023-11-22,2023-11-22,2023-11-22T19:45:00,2023-11-22T20:00:00,3237.54
2023-11-22,2023-11-22,2023-11-22T20:00:00,2023-11-22T20:15:00,3262.004
2023-11-22,2023-11-22,2023-11-22T20:15:00,2023-11-22T20:30:00,3282.567
2023-11-22,2023-11-22,2023-11-22T20:30:00,2023-11-22T20:45:00,3303.132
2023-11-22,2023-11-22,2023-11-22T20:45:00,2023-11-22T21:00:00,3323.692
2023-11-22,2023-11-22,2023-11-22T21:00:00,2023-11-22T21:15:00,3344.26
2023-11-22,2023-11-22,2023-11-22T21:15:00,2023-11-22T21:30:00,3348.738
2023-11-22,2023-11-22,2023-11-22T21:30:00,2023-11-22T21:45:00,3353.228
2023-11-22,2023-11-22,2023-11-22T21:45:00,2023-11-22T22:00:00,3357.714
2023-11-22,2023-11-22,2023-11-22T22:00:00,2023-11-22T22:15:00,3362.198
2023-11-22,2023-11-22,2023-11-22T22:15:00,2023-11-22T22:30:00,3355.451
2023-11-22,2023-11-22,2023-11-22T22:30:00,2023-11-22T22:45:00,3348.7
2023-11-22,2023-11-22,2023-11-22T22:45:00,2023-11-22T23:00:00,3341.954
2023-11-23,2023-11-22,2023-11-22T23:00:00,2023-11-22T23:15:00,3335.221
2023-11-23,2023-11-22,2023-11-22T23:15:00,2023-11-22T23:30:00,3294.675
2023-11-23,2023-11-22,2023-11-22T23:30:00,2023-11-22T23:45:00,3254.131
2023-11-23,2023-11-22,2023-11-22T23:45:00,2023-11-23T00:00:00,3213.599
2023-11-23,2023-11-23,2023-11-23T00:00:00,2023-11-23T00:15:00,3173.067
2023-11-23,2023-11-23,2023-11-23T00:15:00,2023-11-23T00:30:00,3136.916
2023-11-23,2023-11-23,2023-11-23T00:30:00,2023-11-23T00:45:00,3100.76
2023-11-23,2023-11-23,2023-11-23T00:45:00,2023-11-23T01:00:00,3064.611
2023-11-23,2023-11-23,2023-11-23T01:00:00,2023-11-23T01:15:00,3144.848
2023-11-23,2023-11-23,2023-11-23T01:15:00,2023-11-23T01:30:00,3136.639
2023-11-23,2023-11-23,2023-11-23T01:30:00,2023-11-23T01:45:00,3128.418
2023-11-23,2023-11-23,2023-11-23T01:45:00,2023-11-23T02:00:00,3120.192
2023-11-23,2023-11-23,2023-11-23T02:00:00,2023-11-23T02:15:00,3111.982
2023-11-23,2023-11-23,2023-11-23T02:15:00,2023-11-23T02:30:00,3147.685
2023-11-23,2023-11-23,2023-11-23T02:30:00,2023-11-23T02:45:00,3183.358
